id,분야,조항,쪽,질문,본문
q11,정의,§2,23,외국인의 개인정보도 보호법에 따른 보호 대상에 포함되나요?,"#### 외국인의 개인정보도 보호법에 따른 보호 대상에 포함되나요? 

네, 보호법의 적용을 받는 개인정보처리자가 처리하는 외국인의 개인정보는 보호법상 보호 대상에 포함됩니다. 

- ‘정보주체’란 처리되는 정보에 의하여 알아볼 수 있는 사람으로서 그 정보의 주체가 되는 사람을 말하므로(보호법 제2조 제3호), 살아 있는 사람인 한 국적에 관계없이 누구나 정보주체가 될 수 있습니다. 

- 즉, 대한민국 국적을 가지고 있지 않은 외국인도 보호법에 따라 개인정보가 처리되는 경우에는 정보주체가 될 수 있으므로, 보호법에 따라 개인정보를 처리하는 개인정보 처리자라면 정보주체의 국적에 상관없이 보호법에 따른 권리를 보장하여야 합니다. 

- ※ 보호법 제24조 및 보호법 시행령 제19조는 「출입국관리법」 제31조 제5항에 따른 외국인등록번호를 고유식별정보로 규정하고 있습니다."
q12,정의,§2,24,친구가 사적으로 주고 받은 메신저 내용을 제 동의 없이 다른 사람들 에게 보여주고 다니는데 보호법 위반 아닌가요?,"#### 친구가 사적으로 주고 받은 메신저 내용을 제 동의 없이 다른 사람들에게 보여주고 다니는데 보호법 위반 아닌가요? 

###### 개인정보처리자 또는 개인정보취급자로서 개인정보를 처리하는 것이 아니라면, 원칙적 으로 보호법이 적용되지 않습니다. 

- ‘개인정보처리자’란 업무를 목적으로 개인정보파일을 운용하기 위하여 스스로 또는 다른 사람을 통하여 개인정보를 처리하는 공공기관, 법인, 단체 및 개인 등을 말합니다 (보호법 제2조 제5호). 

- 개인정보처리자가 되기 위해서는 ‘업무를 목적으로’ 개인정보를 처리하여야 하며, 순수한 개인적인 활동이나 가사 활동을 위해서 개인정보를 수집·이용·제공하는 자는 개인정보처리자에 해당하지 않습니다. 

- ※ ‘업무’란 직업상 또는 사회생활상의 지위에 기하여 계속적으로 종사하는 사무나 사업의 일체를 의미 하는 것으로 보수 유무나 영리 여부와는 관계가 없으며, 단 1회의 행위라도 계속·반복의 의사를 가지고 직업상 또는 사회생활상의 지위에 기해 행한 행위라면 업무로 볼 수 있습니다. 

- 보호법은 기본적으로 ‘개인정보처리자’를 수범자로 하고 있으며, ‘개인정보처리자’ 또는 개인정보처리자의 지휘·감독을 받아 개인정보를 처리하는 ‘개인정보취급자’가 아닌 일반 사인이 개인적인 활동을 위해서 개인정보를 처리하는 경우에는 원칙적으로 보호법이 적용되지 않습니다. 

- 따라서, 친구가 개인정보처리자 또는 개인정보취급자로서 개인정보를 처리한 것이 아니라면, 사적으로 주고 받은 메신저의 내용을 동의 없이 다른 사람에게 보여주는 행위는 보호법 위반이라고 볼 수 없습니다."
q13,영상정보,§35,27,CCTV 열람 요구 시 모자이크 처리에 소요되는 비용을 정보주체에게 청구할 수 있나요?,"#### CCTV 열람 요구 시 모자이크 처리에 소요되는 비용을 정보주체에게 청구할 수 있나요? 

###### 네, 열람에 소요되는 모자이크 비용 등은 정보주체에게 청구할 수 있습니다. 

- 개인정보처리자는 열람 등 요구를 하는 자에게 수수료와 우송료(사본의 우송을 청구 하는 경우에 한함)를 청구할 수 있으며(보호법 제38조 제3항), 

- 이 경우, 수수료와 우송료의 금액은 실비의 범위에서 해당 개인정보처리자가 정하는바 (지방자치단체의 경우, 그 지방자치단체의 조례)에 따릅니다(보호법 시행령 제47조 제1항). 

- 따라서, 개인정보처리자는 열람에 수반되는 모자이크 등의 비용을 실비의 범위에서 정보주체에게 부담하도록 요구할 수 있습니다. 

- 한편, 개인정보처리자의 과실 등으로 열람을 요청하는 등 열람 요청 사유가 개인정보 처리자에게 있는 경우에는 열람에 수반되는 비용을 개인정보처리자가 부담해야 합니다 (보호법 시행령 제47조 제2항)."
q14,영상정보,§25,28,CCTV 영상 보관기간을 30일 이상으로 정할 수 있나요?,"#### CCTV 영상 보관기간을 30일 이상으로 정할 수 있나요? 

네, 영상정보는 반드시 30일 이내로 보관하여야 하는 것은 아니며, CCTV 설치 목적 달성을 위해 필요한 최소한의 기간동안 보관할 수 있습니다. 

- 고정형 영상정보처리기기운영자는 보관기간 등을 포함하여 「고정형 영상정보처리기기 운영·관리 방침」을 마련해야 하고(보호법 제25조 제7항, 보호법 시행령 제25조 제1항), 

- 그 사정에 따라 보유 목적의 달성을 위한 최소한의 기간을 산정하기 곤란한 때에는 보관기간을 정보 수집 후 30일 이내로 하도록 하고 있습니다(표준지침 제41조 제2항). 

- 따라서, 고정형 영상정보처리기기운영자는 CCTV 설치 목적 등 해당기관의 특성에 따라 보관 목적 달성을 위해 필요한 최소한의 보관기간을 「고정형 영상정보처리기기 운영·관리 방침」에 포함하여 공개하고 그 기간 동안 보관하면 되며, 

- 최소한의 기간을 산정하기 곤란한 경우에는 보관기간을 30일 이내로 정하는 것이 바람직합니다."
q15,영상정보,§25,29,"CCTV를 설치하여 운영 중인데, 녹화 기능은 꺼놓고 영상만 송출하게 하는 경우 관리책임자를 지정하지 않아도 되나요?","CCTV를 설치하여 운영 중인데, 녹화 기능은 꺼놓고 영상만 송출하게 하는 경우 관리책임자를 지정하지 않아도 되나요? 

아니요, CCTV를 설치·운영하는 경우에는 녹화 여부와 관계없이 관리책임자를 지정해야 합니다. 

- CCTV 등 고정형 영상정보처리기기운영자는 안내판 설치, 안전성 확보 조치, 운영· 관리 방침 마련, 관리책임자 지정, 목적 외 이용·제공, 파기, 정보주체의 요구에 대한 조치사항 기록·관리 등 의무를 준수하도록 규정하고 있으므로(보호법 제25조 제4항, 제6항, 제7항, 표준지침 제37조 제1항, 제42조, 제44조 제5항), 

- 녹화를 하고 있지 않더라도 CCTV를 설치·운영 중이라면 해당 고정형 영상정보처리 기기운영자는 관리책임자를 지정해야 합니다."
q16,영상정보,§25,30,"같은 건물 내 출입구, 복도, 계단 등 공용공간에 CCTV를 총 100대 설치·운영하는 경우, 안내판도 각 CCTV별로 100개 설치해야 하나요?","#### 같은 건물 내 출입구, 복도, 계단 등 공용공간에 CCTV를 총 100대 설치·운영하는 경우, 안내판도 각 CCTV별로 100개 설치해야 하나요? 

아니요, 여러 대의 CCTV를 같은 건물 내에서 설치·운영하는 경우에는 출입구 등 잘 보이는 곳에 대표적인 안내판만 설치해도 됩니다. 

- CCTV 등 고정형 영상정보처리기기운영자는 고정형 영상정보처리기기가 설치·운영 되고 있음을 정보주체가 쉽게 알아볼 수 있도록 안내판을 설치하여야 하고, 안내판 에는 ‘설치 목적 및 장소’, ‘촬영 범위 및 시간’, ‘관리책임자의 연락처’ 등을 포함하여야 합니다(보호법 제25조 제4항, 보호법 시행령 제24조 제1항 본문). 

- 다만, 건물 안에 여러 대의 고정형 영상정보처리기기를 설치하는 경우에는 출입구 등 잘 보이는 곳에 해당 시설 또는 장소 전체가 고정형 영상정보처리기기 설치지역임을 표시하는 안내판을 설치할 수 있습니다(보호법 시행령 제24조 제1항 단서). 

- 따라서 CCTV가 총 100대이더라도, 이를 모두 같은 건물 내에서 설치·운영하는 경우 라면 건물 출입구 등 잘 보이는 곳에 대표적인 안내판만 설치해도 되며, 이 경우 안내판에 해당 건물 전체가 CCTV 설치지역임을 표시하여야 합니다."
q17,영상정보,§18,31,공공기관 청사 CCTV 영상을 자체감사에 이용해도 되나요?,"#### 공공기관 청사 CCTV 영상을 자체감사에 이용해도 되나요? 

네, 정보주체 또는 제3자의 이익을 부당하게 침해할 우려가 있을 때를 제외하고 ｢ 공공 감사에 관한 법률 ｣ 에 근거하여 이용할 수 있습니다. 

- 개인정보처리자는 정보주체 또는 제3자의 이익을 부당하게 침해할 우려가 있을 때를 제외하고 다른 법률에 특별한 규정이 있는 경우 정보주체의 개인정보를 목적 외의 용도로 이용하거나 제3자에게 제공할 수 있습니다(보호법 제18조 제2항 제2호). 

- ｢ 

- - 공공감사에 관한 법률 ｣ 제20조 제1항, 제3항에서 자체감사를 위하여 공무원 및 소속 직원에게 자료 제출을 요구할 수 있다고 규정하고 있으며, 해당 조항은 보호법 제18조 제2항 제2호의 ‘다른 법률의 특별한 규정’에 해당합니다(개인정보보호위원회 결정 제2021-106-011호). 

- 따라서, 「공공감사에 관한 법률」의 적용을 받는 공공기관은 보호법 제18조 제2항 제2호에 따라 정보주체 또는 제3자의 이익을 부당하게 침해할 우려가 있을 때를 제외하고 청사관리 목적으로 설치하여 수집한 CCTV 영상정보를 자체감사 목적으로 이용할 수 있으나, 

- 보호법 제3조의 개인정보 보호 원칙에 따라 그 목적에 필요한 범위에서 최소한의 개인정보가 처리되도록 하여야 하고 정보주체의 사생활 침해를 최소화하는 방법으로 처리하여야 하므로, 자체감사에 필요한 최소한의 CCTV 영상정보만을 처리하여야 합니다."
q18,영상정보,§25,32,"민원실 내 폭언이나 욕설, 폭행 발생으로부터 대응하기 위해 민원실에 설치된 CCTV에 한시적으로 녹음 기능을 부여하는 것이 가능한가요?","민원실 내 폭언이나 욕설, 폭행 발생으로부터 대응하기 위해 민원실에 설치된 CCTV에 한시적으로 녹음 기능을 부여하는 것이 가능한가요? 

아니요, 공개된 장소에서 고정형 영상정보처리기기를 통하여 녹음하는 것은 금지됩니다. 

- 고정형 영상정보처리기기운영자는 고정형 영상정보처리기기의 설치 목적과 다른 목적 으로 고정형 영상정보처리기기를 임의로 조작하거나 다른 곳을 비춰서는 아니 되며, 녹음기능은 사용할 수 없습니다(보호법 제25조 제5항). 

- 따라서, CCTV 등 고정형 영상정보처리기기를 통해 음성을 녹음하는 것은 보호법 위반에 해당합니다."
q19,영상정보,§35,33,민원인이 분실물을 찾을 목적으로 기관이 설치·운영하고 있는 CCTV의 열람을 요구할 경우 열람시켜주어야 할 의무가 있나요?,"#### 민원인이 분실물을 찾을 목적으로 기관이 설치·운영하고 있는 CCTV의 열람을 요구할 경우 열람시켜주어야 할 의무가 있나요? 

네, 원칙적으로 개인정보처리자는 열람을 요구받았을 때에는 10일 이내에 열람할 수 있도록 하여야 합니다. 다만, 열람을 요구한 정보주체 이외의 자를 알아볼 수 있는 경우 등에는 보호조치를 취하여야 합니다. 

- 정보주체는 개인정보처리자가 처리하는 자신의 개인정보에 대한 열람을 해당 개인정보 처리자에게 요구할 수 있습니다(보호법 제35조 제1항). 

- 또한, 개인정보처리자는 열람을 요구받았을 때에는 10일 이내에 정보주체가 해당 개인정보를 열람할 수 있도록 하여야 합니다(보호법 제35조 제3항, 보호법 시행령 제41조 제4항). 

- 이 경우, 해당 기간 내에 열람할 수 없는 정당한 사유가 있을 때에는 정보주체에게 그 사유를 알리고 열람을 연기할 수 있으며, 그 사유가 소멸하면 지체 없이 열람하게 하여야 합니다(보호법 제35조 제3항). 

- 다만, 정보주체가 열람을 요구할 수 있는 개인영상정보는 정보주체 자신이 촬영된 개인영상정보에 한하므로(표준지침 제44조 제1항), 영상정보처리기기운영자는 만일 정보주체 이외의 자를 명백히 알아볼 수 있거나 정보주체 이외의 자의 사생활 침해의 우려가 있는 경우에는 해당되는 정보주체 이외의 자의 개인영상정보를 알아볼 수 없도록 보호조치를 취하여야 합니다(표준지침 제46조). 

- 한편, 법률에 따라 열람이 금지되거나 제한되는 경우, 다른 사람의 생명·신체를 해할 우려가 있거나 다른 사람의 재산과 그 밖의 이익을 부당하게 침해할 우려가 있는 경우 등에는 열람을 제한하거나 거절할 수 있습니다(보호법 제35조 제4항)."
q20,영상정보,§25,34,범죄 예방 및 시설 안전을 위해 행정복지센터 민원실에 설치·운영 중인 CCTV 영상을 같은 목적으로 민원실 내 모니터로 송출해도 되나요?,"범죄 예방 및 시설 안전을 위해 행정복지센터 민원실에 설치·운영 중인 CCTV 영상을 같은 목적으로 민원실 내 모니터로 송출해도 되나요? 

###### 네, 개인영상정보를 당초 수집 목적 범위에서 송출할 수 있습니다. 

- 범죄의 예방을 위하여 필요한 경우, 시설의 안전 및 관리를 위하여 정당한 권한을 가진 자가 설치·운영하는 경우 등에는 공개된 장소에 고정형 영상정보처리기기를 설치·운영 할 수 있는데, 

- ‘모니터’는 영상을 송출·열람하는 장치로서, ‘고정형 영상정보처리기기’를 구성하는 것이고, 행정복지센터 민원실은 불특정 다수가 출입·이용하도록 허용된 ‘공개된 장소’에 해당합니다(보호법 제25조 제1항 제2호, 제3호, 제2조 제7호, 보호법 시행령 제3조 제1호). 

- 민원실에서 CCTV로 촬영한 영상을 모니터로 송출할 경우, 그 민원실에 있는 자들 로서는 모니터에 나타나는 영상을 보는 것과 육안으로 근처에 있는 사람을 직접 보는 것 사이에 본질적인 차이가 없고, 자신의 모습이 모니터에 나오는 것을 원하지 않으면 현장을 이탈함으로써 개인영상정보를 관리·통제할 수도 있습니다. 

- 따라서 범죄 예방, 시설 안전을 위해 행정복지센터 민원실에 설치·운영 중인 CCTV로 수집한 개인영상정보를 범죄 예방, 시설 안전 효과를 높이기 위해 같은 민원실 모니터로 송출하는 것은 당초 수집 목적 범위에서의 행위로 허용됩니다."
q21,영상정보,§25,35,불법 주·정차 단속용 또는 방범용으로 CCTV를 설치·운영하고 있는 공공 기관이 설치 목적에 교통정보 수집을 추가할 수 있나요?,"#### 불법 주·정차 단속용 또는 방범용으로 CCTV를 설치·운영하고 있는 공공기관이 설치 목적에 교통정보 수집을 추가할 수 있나요? 

네, 교통정보의 수집·분석을 위해 정당한 권한을 가진 공공기관이 행정절차법에 따른 의견청취 등의 절차를 거친 경우 가능합니다. 

- 교통정보의 수집·분석 및 제공을 위하여 정당한 권한을 가진 자는 공개된 장소에 고정형 영상정보처리기기를 설치·운영할 수 있습니다(보호법 제25조 제1항). 

- 또한, 고정형 영상정보처리기기를 설치·운영하려는 공공기관의 장은 공청회·설명회 등의 절차를 거쳐 관계 전문가 및 이해관계인의 의견을 수렴하도록 하고 있습니다 (보호법 제25조 제3항). 

- 따라서 교통정보의 수집·분석에 대한 정당한 권한을 가진 공공기관은 「행정절차법」에 따른 행정예고의 실시 또는 의견 청취 등의 절차를 거쳐 관계 전문가 및 이해관계인의 의견 수렴을 한 경우, 

- 불법 주·정차 단속 및 방범용으로 운영 중인 고정형 영상정보처리기기에 교통정보 수집·분석 목적을 추가할 수 있습니다."
q22,영상정보,§25,36,조리시설과 어린이 놀이시설을 갖춘 ‘키즈카페’는 CCTV 영상을 며칠간 보관할 수 있나요?,"#### 조리시설과 어린이 놀이시설을 갖춘 ‘ 키즈카페’는 CCTV 영상을 며칠간 보관할 수 있나요? 

보유 목적의 달성을 위한 최소한의 기간 동안 보관하되, 그러한 기간을 산정하기 곤란한 경우에는 해당 개인영상정보 수집 후 30일 이내로 보관하면 됩니다. 

- CCTV 등 고정형 영상정보처리기기운영자는 ‘고정형 영상정보처리기기 운영·관리 방침’에 명시한 보관기간이 경과하거나 개인영상정보의 처리 목적 달성, 보호법 제2조 제1호에 따른 가명정보의 처리 기간 경과 등 그 개인영상정보가 불필요하게 되었을 때에는 지체 없이 그 개인영상정보를 파기하여야 합니다(표준지침 제41조 제1항). 

- 이때 고정형 영상정보처리기기 운영·관리 방침의 ‘보관기간’은 보유 목적의 달성을 위한 최소한의 기간으로 설정하면 되고, 보유 목적의 달성을 위한 최소한의 기간을 산정하기 곤란한 사정이 있는 때에는 보관기간을 개인영상정보 수집 후 30일 이내로 하면 됩니다(표준지침 제41조 제2항). 

- 한편, 보호법 외의 다른 법령에서 영상정보의 보관기간을 특별히 규정하고 있는 경우 그에 따라야 하고, 이와 관련하여 ‘어린이집’ 설치·운영자는 CCTV에 기록된 영상정보를 ｢ 

- ‘60일 이상’ 보관하여야 하는데( 영유아보육법 ｣ 제15조의4 제3항), 

- ｢ 

- - ‘키즈카페’는 영유아보육법 ｣ 상 어린이집에 해당하지 않으므로 위 규정의 적용을 받지 아니하고, 이 외 키즈카페의 영상정보 보관기간에 관한 다른 법령의 특별한 규정은 없는 것으로 보입니다. 

- 따라서 키즈카페는 CCTV 영상을 그 보유 목적의 달성을 위한 최소한의 기간 동안 보관할 수 있고, 그러한 기간을 산정하기 곤란한 사정이 있는 경우에는 음식점 등 영상정보 보관기간에 관한 다른 법령의 특별한 규정이 없는 다른 장소와 마찬가지로 보관기간을 해당 영상 수집 후 30일 이내로 하여 보관하면 됩니다."
