날짜,요일,지점,카테고리,상품,수량,매출
2024-09-06,금,잠실점,커피,콜드브루,1,4380
2024-09-06,금,잠실점,커피,카페라떼,1,4106
2024-09-06,금,잠실점,티,캐모마일,3,14971
2024-09-06,금,잠실점,티,밀크티,2,9870
2024-09-06,금,잠실점,디저트,스콘,4,22290
2024-09-06,금,잠실점,디저트,치즈케이크,5,29103
2024-09-06,금,잠실점,베이커리,베이글,1,3658
2024-09-06,금,잠실점,베이커리,베이글,4,15093
2024-09-07,토,신촌점,커피,콜드브루,3,21743
2024-09-07,토,신촌점,커피,콜드브루,1,6530
2024-09-07,토,신촌점,티,얼그레이,1,7949
2024-09-07,토,신촌점,티,캐모마일,1,8434
2024-09-07,토,신촌점,디저트,치즈케이크,1,10235
2024-09-07,토,신촌점,디저트,치즈케이크,5,53461
2024-09-07,토,신촌점,디저트,마카롱,4,38850
2024-09-07,토,신촌점,베이커리,베이글,2,11275
2024-09-07,토,신촌점,베이커리,베이글,2,11980
2024-09-07,토,신촌점,베이커리,베이글,2,11378
2024-09-07,토,합정점,커피,콜드브루,5,29320
2024-09-07,토,합정점,티,얼그레이,4,27370
2024-09-07,토,합정점,디저트,치즈케이크,3,26683
2024-09-07,토,합정점,디저트,스콘,4,31482
2024-09-07,토,합정점,베이커리,식빵,5,28275
2024-09-07,토,합정점,베이커리,식빵,2,9757
2024-09-07,토,합정점,베이커리,식빵,2,11141
2024-09-07,토,잠실점,커피,아메리카노,1,6021
2024-09-07,토,잠실점,커피,콜드브루,1,5238
2024-09-07,토,잠실점,커피,콜드브루,1,5026
2024-09-07,토,잠실점,티,밀크티,4,23909
2024-09-07,토,잠실점,티,캐모마일,5,29627
2024-09-07,토,잠실점,티,캐모마일,1,6356
2024-09-07,토,잠실점,디저트,마카롱,2,15958
2024-09-07,토,잠실점,디저트,스콘,4,31695
2024-09-07,토,잠실점,디저트,스콘,4,29723
2024-09-07,토,잠실점,베이커리,베이글,2,9558
2024-09-07,토,잠실점,베이커리,식빵,4,20831
2024-09-07,토,잠실점,베이커리,크루아상,1,4718
2024-09-08,일,신촌점,커피,카페라떼,1,6541
2024-09-08,일,신촌점,커피,콜드브루,2,13038
2024-09-08,일,신촌점,커피,콜드브루,3,22609
2024-09-08,일,신촌점,티,얼그레이,1,8570
2024-09-08,일,신촌점,티,얼그레이,3,25637
2024-09-08,일,신촌점,티,캐모마일,2,17328
2024-09-08,일,신촌점,디저트,마카롱,4,41527
2024-09-08,일,신촌점,디저트,치즈케이크,3,32053
2024-09-08,일,신촌점,디저트,마카롱,4,42095
2024-09-08,일,신촌점,베이커리,크루아상,5,28158
2024-09-08,일,합정점,커피,아메리카노,4,22336
2024-09-08,일,합정점,커피,카페라떼,3,19373
2024-09-08,일,합정점,티,얼그레이,4,30177
2024-09-08,일,합정점,디저트,마카롱,2,16811
2024-09-08,일,합정점,베이커리,베이글,4,22107
2024-09-08,일,합정점,베이커리,식빵,4,22598
2024-09-08,일,잠실점,커피,아메리카노,2,11626
2024-09-08,일,잠실점,커피,카페라떼,4,23667
2024-09-08,일,잠실점,티,캐모마일,3,20862
2024-09-08,일,잠실점,디저트,치즈케이크,2,14755
2024-09-08,일,잠실점,디저트,스콘,3,22385
2024-09-08,일,잠실점,베이커리,베이글,1,4891
2024-09-08,일,잠실점,베이커리,베이글,1,4709
2024-09-09,월,신촌점,커피,아메리카노,5,25806
2024-09-09,월,신촌점,커피,카페라떼,1,4869
2024-09-09,월,신촌점,커피,아메리카노,2,9741
2024-09-09,월,신촌점,티,캐모마일,5,32718
2024-09-09,월,신촌점,티,캐모마일,2,12559
2024-09-09,월,신촌점,티,캐모마일,3,20138
2024-09-09,월,신촌점,디저트,마카롱,1,7618
2024-09-09,월,신촌점,베이커리,베이글,2,9808
2024-09-09,월,합정점,커피,카페라떼,1,4933
2024-09-09,월,합정점,티,밀크티,3,15060
2024-09-09,월,합정점,디저트,스콘,5,35752
2024-09-09,월,합정점,베이커리,베이글,1,4274
2024-09-09,월,합정점,베이커리,크루아상,1,4418
2024-09-09,월,합정점,베이커리,베이글,2,7673
2024-09-09,월,잠실점,커피,콜드브루,5,22244
2024-09-09,월,잠실점,티,밀크티,3,13346
2024-09-09,월,잠실점,디저트,스콘,2,11310
2024-09-09,월,잠실점,디저트,마카롱,4,23275
2024-09-09,월,잠실점,베이커리,식빵,1,3972
2024-09-09,월,잠실점,베이커리,베이글,3,11784
2024-09-10,화,신촌점,커피,아메리카노,2,10612
2024-09-10,화,신촌점,커피,아메리카노,3,17766
2024-09-10,화,신촌점,티,캐모마일,4,24638
2024-09-10,화,신촌점,티,얼그레이,4,26160
2024-09-10,화,신촌점,디저트,마카롱,3,23295
2024-09-10,화,신촌점,디저트,스콘,3,24685
2024-09-10,화,신촌점,베이커리,베이글,1,4891
2024-09-10,화,신촌점,베이커리,크루아상,1,4213
2024-09-10,화,합정점,커피,아메리카노,5,22764
2024-09-10,화,합정점,티,밀크티,2,11224
2024-09-10,화,합정점,티,캐모마일,1,5840
2024-09-10,화,합정점,디저트,스콘,2,12066
2024-09-10,화,합정점,디저트,스콘,4,27258
2024-09-10,화,합정점,베이커리,식빵,3,11601
2024-09-10,화,합정점,베이커리,베이글,2,8914
2024-09-10,화,합정점,베이커리,베이글,2,7711
2024-09-10,화,잠실점,커피,카페라떼,1,3984
2024-09-10,화,잠실점,커피,콜드브루,3,13583
2024-09-10,화,잠실점,커피,아메리카노,4,18133
2024-09-10,화,잠실점,티,캐모마일,1,5212
2024-09-10,화,잠실점,티,얼그레이,3,14765
2024-09-10,화,잠실점,티,얼그레이,1,4980
2024-09-10,화,잠실점,디저트,스콘,1,5475
2024-09-10,화,잠실점,디저트,마카롱,2,13159
2024-09-10,화,잠실점,디저트,치즈케이크,2,12201
2024-09-10,화,잠실점,베이커리,식빵,1,3716
2024-09-10,화,잠실점,베이커리,크루아상,1,3751
2024-09-10,화,잠실점,베이커리,식빵,5,17698
2024-09-11,수,신촌점,커피,카페라떼,3,16052
2024-09-11,수,신촌점,커피,아메리카노,4,21878
2024-09-11,수,신촌점,티,캐모마일,1,5918
2024-09-11,수,신촌점,티,얼그레이,2,12038
2024-09-11,수,신촌점,디저트,스콘,5,40848
2024-09-11,수,신촌점,베이커리,식빵,5,21636
2024-09-11,수,신촌점,베이커리,식빵,2,9091
2024-09-11,수,합정점,커피,콜드브루,2,8857
2024-09-11,수,합정점,커피,콜드브루,3,14647
2024-09-11,수,합정점,커피,카페라떼,3,14656
2024-09-11,수,합정점,티,얼그레이,2,10153
2024-09-11,수,합정점,디저트,스콘,1,6646
2024-09-11,수,합정점,베이커리,식빵,5,22375
2024-09-11,수,합정점,베이커리,식빵,5,22459
2024-09-11,수,합정점,베이커리,베이글,4,15783
2024-09-11,수,잠실점,커피,콜드브루,1,4349
2024-09-11,수,잠실점,커피,콜드브루,2,8048
2024-09-11,수,잠실점,커피,아메리카노,5,22087
2024-09-11,수,잠실점,티,캐모마일,3,13731
2024-09-11,수,잠실점,티,밀크티,1,4807
2024-09-11,수,잠실점,티,캐모마일,1,4895
2024-09-11,수,잠실점,디저트,스콘,4,26246
2024-09-11,수,잠실점,디저트,치즈케이크,5,28813
2024-09-11,수,잠실점,디저트,마카롱,5,31910
2024-09-11,수,잠실점,베이커리,식빵,5,19560
2024-09-11,수,잠실점,베이커리,크루아상,5,20026
2024-09-11,수,잠실점,베이커리,크루아상,5,19888
2024-09-12,목,신촌점,커피,콜드브루,5,29316
2024-09-12,목,신촌점,티,캐모마일,1,5631
2024-09-12,목,신촌점,디저트,치즈케이크,2,15333
2024-09-12,목,신촌점,베이커리,식빵,1,4938
2024-09-12,목,신촌점,베이커리,베이글,3,14745
2024-09-12,목,합정점,커피,콜드브루,4,17934
2024-09-12,목,합정점,티,캐모마일,5,26570
2024-09-12,목,합정점,티,얼그레이,5,29022
2024-09-12,목,합정점,티,밀크티,4,22642
2024-09-12,목,합정점,디저트,치즈케이크,4,24213
2024-09-12,목,합정점,디저트,마카롱,5,30996
2024-09-12,목,합정점,디저트,치즈케이크,3,18556
2024-09-12,목,합정점,베이커리,식빵,3,12600
2024-09-12,목,합정점,베이커리,크루아상,2,8238
2024-09-12,목,잠실점,커피,카페라떼,2,9357
2024-09-12,목,잠실점,커피,콜드브루,3,11659
2024-09-12,목,잠실점,커피,콜드브루,2,7917
2024-09-12,목,잠실점,티,얼그레이,3,14554
2024-09-12,목,잠실점,디저트,스콘,3,18148
2024-09-12,목,잠실점,베이커리,식빵,4,13398
2024-09-12,목,잠실점,베이커리,베이글,4,13923
2024-09-13,금,신촌점,커피,아메리카노,3,17737
2024-09-13,금,신촌점,커피,콜드브루,1,5089
2024-09-13,금,신촌점,티,캐모마일,3,20516
2024-09-13,금,신촌점,티,얼그레이,2,13346
2024-09-13,금,신촌점,디저트,마카롱,3,21434
2024-09-13,금,신촌점,디저트,스콘,1,7020
2024-09-13,금,신촌점,디저트,마카롱,4,31761
2024-09-13,금,신촌점,베이커리,크루아상,5,23484
2024-09-13,금,합정점,커피,콜드브루,3,15198
2024-09-13,금,합정점,티,밀크티,1,5264
2024-09-13,금,합정점,디저트,치즈케이크,3,20972
2024-09-13,금,합정점,디저트,스콘,2,13328
2024-09-13,금,합정점,디저트,스콘,2,13958
2024-09-13,금,합정점,베이커리,식빵,3,12965
2024-09-13,금,합정점,베이커리,베이글,4,17497
2024-09-13,금,합정점,베이커리,크루아상,4,16917
2024-09-13,금,잠실점,커피,카페라떼,5,19783
2024-09-13,금,잠실점,커피,콜드브루,3,14084
2024-09-13,금,잠실점,티,밀크티,5,23317
2024-09-13,금,잠실점,디저트,치즈케이크,2,12076
2024-09-13,금,잠실점,베이커리,베이글,4,14595
2024-09-14,토,신촌점,커피,콜드브루,2,14439
2024-09-14,토,신촌점,티,얼그레이,2,17515
2024-09-14,토,신촌점,디저트,마카롱,1,10480
2024-09-14,토,신촌점,베이커리,베이글,2,11091
2024-09-14,토,신촌점,베이커리,크루아상,1,6165
2024-09-14,토,합정점,커피,콜드브루,1,6560
2024-09-14,토,합정점,커피,콜드브루,4,25356
2024-09-14,토,합정점,커피,아메리카노,1,5636
2024-09-14,토,합정점,티,밀크티,3,20618
2024-09-14,토,합정점,디저트,치즈케이크,3,24651
2024-09-14,토,합정점,디저트,마카롱,5,46717
2024-09-14,토,합정점,디저트,마카롱,1,8292
2024-09-14,토,합정점,베이커리,베이글,2,11135
2024-09-14,토,합정점,베이커리,베이글,2,11332
2024-09-14,토,잠실점,커피,콜드브루,5,29405
2024-09-14,토,잠실점,티,캐모마일,4,27807
2024-09-14,토,잠실점,디저트,마카롱,4,34125
2024-09-14,토,잠실점,베이커리,베이글,1,4611
2024-09-14,토,잠실점,베이커리,베이글,1,4653
2024-09-14,토,잠실점,베이커리,식빵,1,4844
2024-09-15,일,신촌점,커피,콜드브루,4,25933
2024-09-15,일,신촌점,커피,카페라떼,4,30257
2024-09-15,일,신촌점,티,밀크티,4,35424
2024-09-15,일,신촌점,디저트,마카롱,5,49389
2024-09-15,일,신촌점,디저트,치즈케이크,2,18170
2024-09-15,일,신촌점,베이커리,베이글,3,17610
2024-09-15,일,신촌점,베이커리,베이글,4,26008
2024-09-15,일,신촌점,베이커리,식빵,4,23250
2024-09-15,일,합정점,커피,카페라떼,5,30719
2024-09-15,일,합정점,커피,콜드브루,3,17592
2024-09-15,일,합정점,티,얼그레이,2,13437
2024-09-15,일,합정점,티,캐모마일,3,21146
2024-09-15,일,합정점,디저트,마카롱,5,40847
2024-09-15,일,합정점,베이커리,식빵,5,28637
2024-09-15,일,합정점,베이커리,식빵,2,9909
2024-09-15,일,합정점,베이커리,식빵,1,5581
2024-09-15,일,잠실점,커피,카페라떼,4,22264
2024-09-15,일,잠실점,커피,아메리카노,3,16913
2024-09-15,일,잠실점,티,캐모마일,3,17394
2024-09-15,일,잠실점,디저트,스콘,1,8535
2024-09-15,일,잠실점,베이커리,베이글,3,14190
2024-09-16,월,신촌점,커피,콜드브루,3,14626
2024-09-16,월,신촌점,커피,카페라떼,4,20131
2024-09-16,월,신촌점,티,밀크티,2,11949
2024-09-16,월,신촌점,티,캐모마일,2,13608
2024-09-16,월,신촌점,디저트,마카롱,5,36336
2024-09-16,월,신촌점,디저트,마카롱,3,24865
2024-09-16,월,신촌점,디저트,치즈케이크,2,14884
2024-09-16,월,신촌점,베이커리,베이글,4,19017
2024-09-16,월,합정점,커피,아메리카노,2,9246
2024-09-16,월,합정점,커피,아메리카노,4,18614
2024-09-16,월,합정점,커피,카페라떼,4,17892
2024-09-16,월,합정점,티,밀크티,3,16899
2024-09-16,월,합정점,티,밀크티,1,5297
2024-09-16,월,합정점,디저트,마카롱,3,20704
2024-09-16,월,합정점,디저트,스콘,2,13150
2024-09-16,월,합정점,디저트,마카롱,3,20950
2024-09-16,월,합정점,베이커리,식빵,1,3992
2024-09-16,월,합정점,베이커리,크루아상,3,11733
2024-09-16,월,잠실점,커피,카페라떼,2,9057
2024-09-16,월,잠실점,커피,카페라떼,2,8798
2024-09-16,월,잠실점,커피,콜드브루,2,8289
2024-09-16,월,잠실점,티,얼그레이,5,26286
2024-09-16,월,잠실점,티,캐모마일,3,15883
2024-09-16,월,잠실점,디저트,마카롱,2,10845
2024-09-16,월,잠실점,디저트,치즈케이크,4,23457
2024-09-16,월,잠실점,디저트,스콘,1,6029
2024-09-16,월,잠실점,베이커리,크루아상,1,3969
2024-09-16,월,잠실점,베이커리,베이글,5,17204
2024-09-17,화,신촌점,커피,콜드브루,5,26886
2024-09-17,화,신촌점,티,얼그레이,1,6193
2024-09-17,화,신촌점,티,밀크티,3,16938
2024-09-17,화,신촌점,티,얼그레이,3,17096
2024-09-17,화,신촌점,디저트,치즈케이크,5,36378
2024-09-17,화,신촌점,베이커리,크루아상,4,17150
2024-09-17,화,신촌점,베이커리,크루아상,5,21192
2024-09-17,화,합정점,커피,카페라떼,1,4753
2024-09-17,화,합정점,티,얼그레이,1,5646
2024-09-17,화,합정점,티,밀크티,1,5811
2024-09-17,화,합정점,디저트,마카롱,1,7206
2024-09-17,화,합정점,디저트,스콘,4,27963
2024-09-17,화,합정점,베이커리,식빵,4,16434
2024-09-17,화,합정점,베이커리,베이글,2,8471
2024-09-17,화,잠실점,커피,아메리카노,1,4011
2024-09-17,화,잠실점,커피,콜드브루,3,12787
2024-09-17,화,잠실점,티,얼그레이,4,21234
2024-09-17,화,잠실점,디저트,스콘,1,6154
2024-09-17,화,잠실점,디저트,마카롱,4,21979
2024-09-17,화,잠실점,디저트,마카롱,1,6436
2024-09-17,화,잠실점,베이커리,베이글,4,14877
2024-09-17,화,잠실점,베이커리,크루아상,2,7256
2024-09-17,화,잠실점,베이커리,베이글,3,10431
2024-09-18,수,신촌점,커피,콜드브루,1,5170
2024-09-18,수,신촌점,커피,카페라떼,3,17722
2024-09-18,수,신촌점,티,얼그레이,3,19479
2024-09-18,수,신촌점,디저트,마카롱,5,38028
2024-09-18,수,신촌점,베이커리,식빵,1,5122
2024-09-18,수,신촌점,베이커리,식빵,1,4651
2024-09-18,수,신촌점,베이커리,크루아상,5,22260
2024-09-18,수,합정점,커피,아메리카노,3,13365
2024-09-18,수,합정점,커피,콜드브루,5,25940
2024-09-18,수,합정점,커피,콜드브루,4,18026
2024-09-18,수,합정점,티,캐모마일,4,23759
2024-09-18,수,합정점,티,밀크티,5,29200
2024-09-18,수,합정점,디저트,치즈케이크,3,18254
2024-09-18,수,합정점,베이커리,크루아상,5,20133
2024-09-18,수,합정점,베이커리,식빵,3,12666
2024-09-18,수,합정점,베이커리,크루아상,3,13034
2024-09-18,수,잠실점,커피,카페라떼,4,16412
2024-09-18,수,잠실점,티,캐모마일,5,22933
2024-09-18,수,잠실점,티,얼그레이,5,25678
2024-09-18,수,잠실점,디저트,치즈케이크,4,25235
2024-09-18,수,잠실점,디저트,스콘,1,6156
2024-09-18,수,잠실점,디저트,치즈케이크,2,10890
2024-09-18,수,잠실점,베이커리,식빵,4,14113
2024-09-19,목,신촌점,커피,아메리카노,3,16826
2024-09-19,목,신촌점,티,얼그레이,3,18885
2024-09-19,목,신촌점,티,캐모마일,1,5977
2024-09-19,목,신촌점,디저트,마카롱,3,21355
2024-09-19,목,신촌점,베이커리,식빵,2,9448
2024-09-19,목,신촌점,베이커리,베이글,5,24552
2024-09-19,목,신촌점,베이커리,식빵,4,19593
2024-09-19,목,합정점,커피,카페라떼,5,24696
2024-09-19,목,합정점,티,캐모마일,2,11655
2024-09-19,목,합정점,티,밀크티,3,16679
2024-09-19,목,합정점,디저트,치즈케이크,5,35264
2024-09-19,목,합정점,베이커리,크루아상,4,16405
2024-09-19,목,잠실점,커피,카페라떼,1,4682
2024-09-19,목,잠실점,커피,카페라떼,1,4608
2024-09-19,목,잠실점,티,밀크티,3,14566
2024-09-19,목,잠실점,디저트,치즈케이크,3,17407
2024-09-19,목,잠실점,디저트,마카롱,5,32585
2024-09-19,목,잠실점,디저트,치즈케이크,3,18322
2024-09-19,목,잠실점,베이커리,크루아상,3,10938
2024-09-19,목,잠실점,베이커리,베이글,1,3996
2024-09-20,금,신촌점,커피,콜드브루,1,5173
2024-09-20,금,신촌점,티,캐모마일,2,11472
2024-09-20,금,신촌점,디저트,마카롱,4,29265
2024-09-20,금,신촌점,베이커리,식빵,1,4568
2024-09-20,금,합정점,커피,카페라떼,4,20483
2024-09-20,금,합정점,커피,카페라떼,5,23331
2024-09-20,금,합정점,티,얼그레이,3,15636
2024-09-20,금,합정점,티,얼그레이,1,5482
2024-09-20,금,합정점,디저트,치즈케이크,1,6813
2024-09-20,금,합정점,디저트,치즈케이크,5,32576
2024-09-20,금,합정점,디저트,치즈케이크,4,25153
2024-09-20,금,합정점,베이커리,식빵,3,13296
2024-09-20,금,합정점,베이커리,식빵,1,4405
2024-09-20,금,합정점,베이커리,크루아상,3,13466
2024-09-20,금,잠실점,커피,콜드브루,5,19313
2024-09-20,금,잠실점,커피,콜드브루,5,19522
2024-09-20,금,잠실점,티,얼그레이,4,21048
2024-09-20,금,잠실점,티,밀크티,5,26215
2024-09-20,금,잠실점,티,얼그레이,4,20451
2024-09-20,금,잠실점,디저트,스콘,4,25152
2024-09-20,금,잠실점,디저트,스콘,5,31962
2024-09-20,금,잠실점,디저트,스콘,3,18670
2024-09-20,금,잠실점,베이커리,식빵,1,3456
2024-09-21,토,신촌점,커피,아메리카노,1,6831
2024-09-21,토,신촌점,커피,아메리카노,3,22875
2024-09-21,토,신촌점,티,밀크티,4,33702
2024-09-21,토,신촌점,티,캐모마일,2,15681
2024-09-21,토,신촌점,디저트,치즈케이크,5,47455
2024-09-21,토,신촌점,디저트,치즈케이크,5,47213
2024-09-21,토,신촌점,베이커리,베이글,5,28048
2024-09-21,토,신촌점,베이커리,베이글,5,28797
2024-09-21,토,합정점,커피,아메리카노,4,26879
2024-09-21,토,합정점,티,밀크티,5,38281
2024-09-21,토,합정점,디저트,치즈케이크,3,25732
2024-09-21,토,합정점,베이커리,식빵,5,26713
2024-09-21,토,합정점,베이커리,크루아상,5,24501
2024-09-21,토,합정점,베이커리,크루아상,3,15790
2024-09-21,토,잠실점,커피,아메리카노,1,5725
2024-09-21,토,잠실점,커피,콜드브루,5,25119
2024-09-21,토,잠실점,티,얼그레이,4,25411
2024-09-21,토,잠실점,티,얼그레이,2,12337
2024-09-21,토,잠실점,디저트,치즈케이크,5,36389
2024-09-21,토,잠실점,디저트,치즈케이크,2,15684
2024-09-21,토,잠실점,베이커리,크루아상,2,9161
2024-09-21,토,잠실점,베이커리,크루아상,1,4655
2024-09-21,토,잠실점,베이커리,식빵,2,9050
2024-09-22,일,신촌점,커피,아메리카노,3,22735
2024-09-22,일,신촌점,티,밀크티,2,14698
2024-09-22,일,신촌점,티,얼그레이,2,17450
2024-09-22,일,신촌점,티,밀크티,4,30744
2024-09-22,일,신촌점,디저트,스콘,2,18651
2024-09-22,일,신촌점,디저트,마카롱,1,10740
2024-09-22,일,신촌점,베이커리,크루아상,4,26020
2024-09-22,일,신촌점,베이커리,베이글,3,18471
2024-09-22,일,합정점,커피,아메리카노,2,11487
2024-09-22,일,합정점,티,얼그레이,5,32650
2024-09-22,일,합정점,티,밀크티,2,15361
2024-09-22,일,합정점,디저트,마카롱,4,35457
2024-09-22,일,합정점,디저트,마카롱,1,8121
2024-09-22,일,합정점,디저트,치즈케이크,2,16710
2024-09-22,일,합정점,베이커리,크루아상,5,27484
2024-09-22,일,합정점,베이커리,크루아상,3,14443
2024-09-22,일,합정점,베이커리,크루아상,1,5488
2024-09-22,일,잠실점,커피,아메리카노,5,28244
2024-09-22,일,잠실점,커피,아메리카노,4,24383
