pickup,dropoff,passengers,distance,fare,tip,total,payment,pickup_borough,dropoff_borough
2019-03-29 08:48:46,2019-03-29 08:56:07,1,1.0,6.5,1.95,11.75,credit card,Manhattan,Manhattan
2019-03-02 23:05:12,2019-03-02 23:17:34,1,1.85,10.0,0.0,13.8,cash,Manhattan,Manhattan
2019-03-17 01:28:28,2019-03-17 02:04:54,1,7.95,30.0,0.0,33.8,cash,Manhattan,Queens
2019-03-09 13:42:08,2019-03-09 13:48:46,1,1.0,6.5,0.0,9.8,cash,Manhattan,Manhattan
2019-03-05 15:41:23,2019-03-05 15:46:30,1,0.6,5.0,1.65,9.95,credit card,Manhattan,Manhattan
2019-03-18 19:57:00,2019-03-18 20:06:22,2,1.57,8.5,1.8,14.6,credit card,Manhattan,Manhattan
2019-03-17 22:47:36,2019-03-17 22:55:32,1,1.3,7.5,2.25,13.55,credit card,Manhattan,Manhattan
2019-03-15 23:46:05,2019-03-15 23:59:52,1,1.47,9.5,0.0,13.3,cash,Manhattan,Manhattan
2019-03-16 18:57:19,2019-03-16 19:00:16,2,0.4,4.0,0.0,7.3,cash,Manhattan,Manhattan
2019-03-14 11:55:26,2019-03-14 12:08:32,6,1.84,10.0,2.66,15.96,credit card,Manhattan,Manhattan
2019-03-16 21:03:35,2019-03-16 21:21:58,1,2.5,12.5,1.5,17.8,credit card,Manhattan,Manhattan
2019-03-09 19:54:40,2019-03-09 20:07:27,2,1.5,9.5,0.0,12.8,cash,Manhattan,Manhattan
2019-03-03 16:44:20,2019-03-03 16:48:36,1,1.02,5.0,2.08,10.38,credit card,Manhattan,Manhattan
2019-03-04 20:20:15,2019-03-04 20:24:14,1,0.6,5.0,0.0,6.3,cash,Manhattan,Manhattan
2019-03-28 22:57:05,2019-03-28 23:16:56,1,4.1,16.0,0.0,19.8,cash,Manhattan,Manhattan
2019-03-16 05:08:02,2019-03-16 05:08:20,1,0.07,2.5,0.0,3.8,cash,Queens,Queens
2019-03-27 22:22:30,2019-03-27 22:41:40,1,5.99,20.0,5.95,29.75,credit card,Manhattan,Manhattan
2019-03-07 10:39:25,2019-03-07 11:05:01,5,2.55,16.5,0.0,19.8,cash,Manhattan,Manhattan
2019-03-11 08:46:09,2019-03-11 08:47:21,1,0.3,3.0,0.95,7.25,credit card,Manhattan,Manhattan
2019-03-28 07:05:19,2019-03-28 07:41:14,0,10.6,33.5,0.0,40.06,credit card,Bronx,Manhattan
2019-03-12 12:02:26,2019-03-12 12:17:00,3,0.66,9.5,1.2,14.0,credit card,Manhattan,Manhattan
2019-03-06 20:00:28,2019-03-06 20:11:50,3,2.6,11.0,4.4,19.2,credit card,Manhattan,Manhattan
2019-03-28 21:30:43,2019-03-28 21:42:10,1,1.6,9.0,2.55,15.35,credit card,Manhattan,Manhattan
2019-03-13 16:11:26,2019-03-13 16:28:42,1,3.21,13.5,0.0,17.8,cash,Manhattan,Brooklyn
2019-03-04 22:34:00,2019-03-04 22:41:34,1,1.3,7.5,0.5,11.8,credit card,Manhattan,Manhattan
2019-03-08 19:10:16,2019-03-08 19:18:32,2,0.9,7.0,0.0,11.3,cash,Manhattan,Manhattan
2019-03-02 10:47:45,2019-03-02 10:56:08,3,0.95,7.5,2.16,12.96,credit card,Manhattan,Manhattan
2019-03-28 11:28:29,2019-03-28 11:49:30,1,1.79,13.5,3.36,20.16,credit card,Manhattan,Manhattan
2019-03-29 14:24:32,2019-03-29 14:31:52,1,1.15,7.0,2.06,12.36,credit card,Manhattan,Manhattan
2019-03-01 07:34:30,2019-03-01 07:40:58,1,1.2,6.5,0.0,9.8,cash,Manhattan,Manhattan
2019-03-31 11:50:36,2019-03-31 11:54:00,4,0.43,4.0,0.0,7.3,cash,Manhattan,Manhattan
2019-03-28 13:29:48,2019-03-28 13:56:36,3,9.5,30.0,0.0,39.06,cash,Queens,Manhattan
2019-03-12 17:05:47,2019-03-12 17:12:12,1,1.1,6.5,2.15,12.95,credit card,Manhattan,Manhattan
2019-03-08 18:43:42,2019-03-08 18:57:17,1,2.06,10.0,2.86,17.16,credit card,Manhattan,Manhattan
2019-03-04 17:49:31,2019-03-04 17:55:25,1,0.78,5.5,1.47,11.27,credit card,Manhattan,Manhattan
2019-03-22 13:23:05,2019-03-22 13:43:15,4,2.42,13.5,2.0,18.8,credit card,Manhattan,Manhattan
2019-03-09 23:57:28,2019-03-10 00:16:04,1,2.73,13.0,1.0,17.8,credit card,Manhattan,Brooklyn
2019-03-20 10:12:24,2019-03-20 10:31:36,1,5.7,20.0,4.65,27.95,credit card,Manhattan,Manhattan
2019-03-15 10:56:56,2019-03-15 11:37:02,1,11.93,39.5,9.71,58.27,credit card,Manhattan,Queens
2019-03-22 23:19:12,2019-03-22 23:31:20,1,1.7,10.0,2.75,16.55,credit card,Manhattan,Manhattan
2019-03-30 12:28:42,2019-03-30 12:49:34,1,2.9,15.0,0.0,18.3,cash,Manhattan,Manhattan
2019-03-05 12:17:49,2019-03-05 12:36:12,1,5.98,19.0,5.58,27.88,credit card,Brooklyn,Manhattan
2019-03-01 16:10:56,2019-03-01 16:15:58,1,0.65,5.0,1.86,11.16,credit card,Manhattan,Manhattan
2019-03-25 15:43:32,2019-03-25 15:58:23,1,1.76,10.5,0.0,13.8,cash,Manhattan,Manhattan
2019-03-23 09:39:25,2019-03-23 09:56:45,0,3.6,15.5,3.75,22.55,credit card,Manhattan,Manhattan
2019-03-11 10:00:32,2019-03-11 10:04:24,2,0.58,4.5,0.78,8.58,credit card,Manhattan,Manhattan
2019-03-14 23:29:02,2019-03-14 23:37:17,1,1.22,7.0,0.0,10.8,cash,Manhattan,Manhattan
2019-03-21 17:21:44,2019-03-21 17:21:49,1,0.0,2.5,0.0,4.3,cash,Queens,Queens
2019-03-13 20:00:10,2019-03-13 20:14:34,1,2.1,11.0,3.05,18.35,credit card,Manhattan,Manhattan
2019-03-10 20:36:47,2019-03-10 20:47:33,2,2.0,9.5,1.62,12.42,credit card,Manhattan,Manhattan
2019-03-20 21:17:25,2019-03-20 21:22:39,1,0.83,5.5,0.0,9.3,cash,Manhattan,Manhattan
2019-03-04 13:06:09,2019-03-04 13:16:31,1,1.79,9.5,1.0,13.8,credit card,Manhattan,Manhattan
2019-03-31 17:17:53,2019-03-31 17:29:00,1,2.07,10.0,2.7,13.5,credit card,Manhattan,Manhattan
2019-03-13 08:46:04,2019-03-13 08:58:57,1,1.53,10.0,2.66,15.96,credit card,Manhattan,Manhattan
2019-03-21 18:44:03,2019-03-21 19:30:50,1,10.21,37.61,0.0,38.41,credit card,Manhattan,Manhattan
2019-03-06 19:29:56,2019-03-06 20:08:36,1,10.8,36.0,11.5,57.56,credit card,Queens,Manhattan
2019-03-17 22:46:35,2019-03-17 23:04:07,1,3.43,14.5,3.66,21.96,credit card,Manhattan,Manhattan
2019-03-10 00:20:33,2019-03-10 00:27:13,3,0.57,6.0,0.0,9.8,cash,Manhattan,Manhattan
2019-03-28 18:06:43,2019-03-28 18:11:26,1,0.9,5.5,0.0,9.8,cash,Manhattan,Manhattan
2019-03-12 13:01:22,2019-03-12 13:04:25,1,0.6,4.0,0.0,7.3,cash,Manhattan,Manhattan
2019-03-28 21:09:58,2019-03-28 21:15:31,1,1.06,6.0,2.94,12.74,credit card,Manhattan,Manhattan
2019-03-11 10:37:05,2019-03-11 10:50:41,5,1.56,10.0,1.0,14.3,credit card,Manhattan,Manhattan
2019-03-06 18:59:05,2019-03-06 19:11:27,1,0.9,8.5,2.5,15.3,credit card,Manhattan,Manhattan
2019-03-11 11:56:04,2019-03-11 12:06:03,1,1.7,9.0,0.0,12.3,cash,Manhattan,Manhattan
2019-03-09 19:07:27,2019-03-09 19:10:45,1,0.55,4.5,1.56,9.36,credit card,Manhattan,Manhattan
2019-03-07 19:26:16,2019-03-07 19:44:20,4,3.0,14.0,3.65,21.95,credit card,Manhattan,Manhattan
2019-03-19 15:08:45,2019-03-19 15:34:24,6,6.4,23.0,5.26,31.56,credit card,Manhattan,Manhattan
2019-03-29 08:55:37,2019-03-29 09:13:36,2,4.14,16.0,3.86,23.16,credit card,Manhattan,Manhattan
2019-03-31 08:55:25,2019-03-31 09:00:23,1,1.1,6.0,0.0,9.3,cash,Manhattan,Manhattan
2019-03-30 20:45:00,2019-03-30 21:06:11,1,2.61,14.0,2.67,20.47,credit card,Manhattan,Manhattan
2019-03-03 12:37:17,2019-03-03 12:43:53,1,1.18,6.5,0.0,9.8,cash,Manhattan,Manhattan
2019-03-23 18:35:01,2019-03-23 18:47:39,1,3.2,12.5,2.0,17.8,credit card,Manhattan,Manhattan
2019-03-26 23:30:48,2019-03-26 23:40:09,1,2.8,10.5,2.85,17.15,credit card,Manhattan,Manhattan
2019-03-11 11:36:07,2019-03-11 11:57:43,2,5.09,19.0,5.58,27.88,credit card,Manhattan,Manhattan
2019-03-25 15:51:14,2019-03-25 16:01:50,1,1.16,8.0,2.26,13.56,credit card,Manhattan,Manhattan
2019-03-27 23:10:02,2019-03-27 23:22:11,3,2.77,11.0,3.7,18.5,credit card,Manhattan,Manhattan
2019-03-28 07:54:06,2019-03-28 08:01:42,1,1.72,7.5,0.0,8.3,cash,Manhattan,Manhattan
2019-03-19 06:22:29,2019-03-19 06:37:12,1,3.5,13.5,0.0,16.8,cash,Manhattan,Manhattan
2019-03-29 10:25:21,2019-03-29 11:14:27,3,6.71,34.0,7.46,44.76,credit card,Manhattan,Brooklyn
2019-03-28 05:39:40,2019-03-28 05:47:07,1,2.2,8.5,2.45,14.75,credit card,Manhattan,Manhattan
2019-03-13 18:32:01,2019-03-13 18:45:07,1,2.0,10.0,0.0,14.3,cash,Manhattan,Manhattan
2019-03-05 17:58:42,2019-03-05 18:19:23,2,2.7,14.5,0.0,18.8,cash,Manhattan,Manhattan
2019-03-21 22:49:32,2019-03-21 22:55:11,1,1.03,6.0,1.46,8.76,credit card,Brooklyn,Brooklyn
2019-03-07 19:57:32,2019-03-07 20:10:59,1,0.9,9.5,2.0,15.8,credit card,Manhattan,Manhattan
2019-03-02 12:25:56,2019-03-02 12:45:44,5,10.18,29.5,0.06,38.62,credit card,Queens,Manhattan
2019-03-05 15:39:52,2019-03-05 15:44:51,3,0.92,5.5,0.0,8.8,cash,Manhattan,Manhattan
2019-03-13 16:40:50,2019-03-13 16:51:55,1,2.0,9.5,1.0,14.8,credit card,Manhattan,Manhattan
2019-03-14 11:36:47,2019-03-14 11:46:26,1,1.43,8.5,2.36,14.16,credit card,Manhattan,Manhattan
2019-03-22 07:46:43,2019-03-22 07:49:36,3,0.74,4.5,1.95,9.75,credit card,Manhattan,Manhattan
2019-03-06 17:36:48,2019-03-06 18:43:39,2,17.1,52.0,13.1,78.66,credit card,Manhattan,Queens
2019-03-08 04:17:26,2019-03-08 04:21:46,1,1.2,5.5,1.0,10.3,credit card,Manhattan,Manhattan
2019-03-31 15:21:11,2019-03-31 15:37:28,2,1.8,11.0,1.0,15.3,credit card,Manhattan,Manhattan
2019-03-21 21:31:56,2019-03-21 21:49:14,1,2.13,12.0,0.0,15.8,cash,Manhattan,Manhattan
2019-03-06 12:43:50,2019-03-06 12:59:59,1,1.4,11.0,2.85,17.15,credit card,Manhattan,Manhattan
2019-03-18 14:30:31,2019-03-18 14:36:40,1,0.6,5.5,0.0,8.8,cash,Manhattan,Manhattan
2019-03-28 22:33:16,2019-03-28 22:45:37,2,1.56,9.5,0.0,13.3,cash,Manhattan,Manhattan
2019-03-13 12:33:55,2019-03-13 12:40:20,6,0.95,6.0,2.32,11.62,credit card,Manhattan,Manhattan
2019-03-14 04:46:52,2019-03-14 04:49:50,2,0.56,4.0,1.56,9.36,credit card,Manhattan,Manhattan
2019-03-13 19:21:03,2019-03-13 19:28:35,1,1.0,6.5,0.0,10.8,cash,Manhattan,Manhattan
2019-03-01 11:25:31,2019-03-01 11:34:24,1,1.24,8.0,0.0,11.3,cash,Manhattan,Manhattan
2019-03-05 22:07:42,2019-03-05 22:18:17,6,2.16,9.5,3.32,16.62,credit card,Manhattan,Manhattan
2019-03-04 20:56:26,2019-03-04 21:13:36,1,9.97,28.5,0.0,29.8,credit card,Bronx,Bronx
2019-03-04 20:40:56,2019-03-04 20:44:27,1,1.1,5.5,1.86,11.16,credit card,Manhattan,Manhattan
2019-03-05 17:58:10,2019-03-05 18:00:25,1,0.44,3.5,1.11,8.91,credit card,Manhattan,Manhattan
2019-03-29 19:21:12,2019-03-29 19:35:34,1,5.19,17.5,4.0,25.8,credit card,Manhattan,Manhattan
2019-03-16 17:27:17,2019-03-16 17:41:03,0,3.5,14.5,0.0,15.3,cash,Manhattan,Manhattan
2019-03-01 10:25:50,2019-03-01 10:32:29,1,0.84,6.0,0.0,9.3,cash,Manhattan,Manhattan
2019-03-08 00:51:39,2019-03-08 00:56:54,5,0.93,5.5,1.86,11.16,credit card,Manhattan,Manhattan
2019-03-15 09:20:34,2019-03-15 09:27:03,2,0.71,6.0,0.0,9.3,cash,Manhattan,Manhattan
2019-03-07 00:09:28,2019-03-07 00:38:46,1,6.08,24.0,0.0,27.8,cash,Manhattan,Queens
2019-03-11 20:45:26,2019-03-11 20:50:27,1,1.09,6.0,1.96,11.76,credit card,Manhattan,Manhattan
2019-03-26 12:52:27,2019-03-26 13:07:01,1,1.9,10.5,0.0,13.8,cash,Manhattan,Manhattan
2019-03-13 08:34:03,2019-03-13 08:51:10,1,1.8,11.5,0.0,14.8,cash,Manhattan,Manhattan
2019-03-14 19:38:22,2019-03-14 19:43:09,1,1.5,6.5,2.7,13.5,credit card,Manhattan,Manhattan
2019-03-17 00:48:21,2019-03-17 00:59:36,2,2.17,10.0,0.0,13.8,cash,Manhattan,Manhattan
2019-03-26 15:06:47,2019-03-26 15:59:52,1,18.41,52.0,0.02,61.08,credit card,Queens,Manhattan
2019-03-17 00:50:05,2019-03-17 01:01:47,4,2.0,10.0,2.75,16.55,credit card,Manhattan,Manhattan
2019-03-30 09:39:06,2019-03-30 09:45:23,1,1.2,6.5,1.95,11.75,credit card,Manhattan,Manhattan
2019-03-31 14:28:46,2019-03-31 14:34:24,1,1.46,6.5,1.96,11.76,credit card,Manhattan,Manhattan
2019-03-19 09:28:34,2019-03-19 10:01:34,1,14.1,39.5,6.0,46.3,credit card,Queens,Queens
2019-03-18 21:28:55,2019-03-18 21:52:22,1,14.3,40.0,0.0,41.3,cash,Queens,Brooklyn
2019-03-10 06:32:41,2019-03-10 06:36:23,1,0.66,4.5,0.0,7.8,cash,Manhattan,Manhattan
2019-03-20 18:51:16,2019-03-20 19:03:10,1,3.13,11.5,3.16,18.96,credit card,Manhattan,Manhattan
2019-03-12 14:39:59,2019-03-12 15:06:34,1,6.5,23.5,0.0,32.56,cash,Manhattan,Brooklyn
2019-03-19 14:05:07,2019-03-19 14:11:25,1,1.3,6.5,2.45,12.25,credit card,Manhattan,Manhattan
2019-03-19 16:13:05,2019-03-19 16:14:39,1,0.2,3.0,0.0,7.3,cash,Manhattan,Manhattan
2019-03-16 13:18:43,2019-03-16 13:33:44,1,1.8,11.0,0.0,14.3,cash,Manhattan,Manhattan
2019-03-14 07:59:57,2019-03-14 08:09:42,1,1.4,8.5,2.35,14.15,credit card,Manhattan,Manhattan
2019-03-31 14:28:05,2019-03-31 14:41:07,1,1.1,9.0,0.0,12.3,cash,Manhattan,Manhattan
2019-03-15 21:25:04,2019-03-15 21:31:55,1,0.88,6.0,0.0,9.8,cash,Manhattan,Manhattan
2019-03-02 22:42:20,2019-03-02 22:56:52,1,2.3,11.5,3.8,19.1,credit card,Manhattan,Manhattan
2019-03-25 18:47:22,2019-03-25 18:57:06,3,1.21,7.5,0.0,11.8,cash,Manhattan,Manhattan
2019-03-15 14:19:05,2019-03-15 14:20:39,5,0.47,3.5,0.0,6.8,credit card,Manhattan,Manhattan
2019-03-06 09:48:13,2019-03-06 09:58:40,1,1.6,8.5,2.35,14.15,credit card,Manhattan,Manhattan
2019-03-08 18:04:40,2019-03-08 18:11:10,1,1.5,7.0,4.0,15.3,credit card,Manhattan,Manhattan
2019-03-07 17:15:41,2019-03-07 17:18:41,1,0.4,4.5,0.0,8.8,cash,Manhattan,Manhattan
2019-03-30 23:38:33,2019-03-30 23:48:10,1,1.1,7.5,1.0,12.3,credit card,Manhattan,Manhattan
2019-03-13 07:15:24,2019-03-13 07:25:50,1,2.27,9.5,0.0,12.8,cash,Manhattan,Manhattan
2019-03-30 23:53:24,2019-03-30 23:56:29,1,0.6,4.5,0.0,8.3,credit card,Manhattan,Manhattan
2019-03-25 21:36:30,2019-03-25 21:44:52,1,0.9,7.0,2.16,12.96,credit card,Manhattan,Manhattan
2019-03-30 11:31:52,2019-03-30 11:35:10,1,0.3,4.0,3.0,10.3,credit card,Manhattan,Manhattan
2019-03-22 22:40:19,2019-03-22 22:55:26,1,2.75,12.5,0.0,13.8,cash,Brooklyn,Brooklyn
2019-03-10 10:32:26,2019-03-10 10:35:20,1,0.6,4.5,1.06,6.36,credit card,Manhattan,Manhattan
2019-03-05 22:00:00,2019-03-05 22:17:27,2,3.6,14.5,3.65,21.95,credit card,Manhattan,Manhattan
2019-03-15 22:59:38,2019-03-15 23:04:56,6,1.16,6.0,0.0,9.8,cash,Manhattan,Manhattan
2019-03-20 11:15:24,2019-03-20 11:59:38,1,15.01,46.5,0.0,53.06,credit card,Manhattan,Brooklyn
2019-03-08 18:08:03,2019-03-08 18:15:42,1,1.4,7.0,2.25,13.55,credit card,Manhattan,Manhattan
2019-03-20 22:27:45,2019-03-20 22:49:14,2,3.69,16.0,0.0,19.8,cash,Manhattan,Manhattan
2019-03-14 12:43:06,2019-03-14 13:06:58,1,8.81,27.5,7.31,43.87,credit card,Queens,Manhattan
2019-03-22 21:39:15,2019-03-22 21:45:25,1,0.84,6.0,2.0,11.8,credit card,Manhattan,Manhattan
2019-03-13 21:57:25,2019-03-13 22:15:34,1,9.61,27.5,5.56,42.62,credit card,Queens,Manhattan
2019-03-19 23:41:10,2019-03-19 23:43:55,1,0.4,4.0,0.0,7.8,cash,Manhattan,Manhattan
2019-03-22 15:36:34,2019-03-22 16:34:48,2,12.07,48.5,11.51,69.07,credit card,Manhattan,Brooklyn
2019-03-01 20:28:26,2019-03-01 20:36:21,1,1.31,7.5,0.0,11.3,cash,Manhattan,Manhattan
2019-03-14 14:28:42,2019-03-14 14:56:54,1,3.79,19.5,4.56,29.31,credit card,Manhattan,Manhattan
2019-03-03 21:02:46,2019-03-03 21:22:46,1,9.9,28.0,7.51,45.07,credit card,Queens,Manhattan
2019-03-19 23:32:01,2019-03-19 23:40:05,1,1.86,8.0,2.36,14.16,credit card,Manhattan,Manhattan
2019-03-17 02:22:11,2019-03-17 02:31:02,2,0.66,7.0,1.94,12.74,credit card,Manhattan,Manhattan
2019-03-04 15:30:13,2019-03-04 15:41:03,1,0.62,7.5,2.16,12.96,credit card,Manhattan,Manhattan
2019-03-14 11:45:08,2019-03-14 11:48:55,1,0.7,4.5,0.0,7.8,cash,Manhattan,Manhattan
2019-03-07 23:46:25,2019-03-07 23:51:55,1,1.09,6.0,1.96,11.76,credit card,Manhattan,Manhattan
