수강생id,카테고리,수강료,수강시간_분,완료율,만족도,재수강여부,가입경로
U0098,AI머신러닝,79000,308,44.0,4.7,0,검색
U0099,데이터분석,79000,94,26.1,3.5,0,광고
U0100,웹개발,99000,326,75.5,5.0,1,추천
U0101,파이썬,129000,757,96.0,4.9,1,검색
U0102,파이썬,99000,470,60.2,4.4,0,검색
U0103,데이터분석,99000,332,57.4,4.4,1,검색
U0104,데이터분석,49000,129,65.3,4.0,0,검색
U0105,데이터분석,79000,165,69.3,3.6,0,지인
U0106,디자인,79000,344,55.9,3.4,1,광고
U0107,AI머신러닝,99000,475,88.8,3.7,0,검색
U0108,AI머신러닝,99000,214,65.2,3.6,0,검색
U0109,데이터분석,129000,470,75.4,4.5,1,검색
U0110,파이썬,129000,544,90.1,4.3,0,추천
U0111,파이썬,79000,628,69.2,3.9,0,추천
U0112,웹개발,79000,588,80.8,4.2,0,검색
U0113,웹개발,49000,184,71.2,4.0,1,광고
U0114,디자인,79000,165,61.3,3.6,0,지인
U0115,파이썬,49000,246,100.0,4.7,1,추천
U0116,데이터분석,49000,348,60.6,4.4,0,추천
U0117,데이터분석,99000,490,70.9,4.9,0,추천
U0118,AI머신러닝,129000,321,59.0,3.8,0,검색
U0119,파이썬,49000,234,52.4,4.1,0,광고
U0120,웹개발,79000,108,53.8,4.2,0,검색
U0121,웹개발,79000,327,52.7,4.8,0,검색
U0122,파이썬,79000,694,91.1,4.1,1,검색
U0123,AI머신러닝,49000,502,70.2,3.7,0,추천
U0124,데이터분석,79000,263,45.7,4.2,1,검색
U0125,데이터분석,129000,308,54.1,4.5,1,광고
U0126,파이썬,99000,462,54.0,3.6,1,광고
U0127,AI머신러닝,79000,408,49.6,4.3,0,광고
U0128,AI머신러닝,79000,419,67.9,4.3,0,추천
U0129,파이썬,99000,566,71.4,4.7,1,광고
U0130,파이썬,129000,262,76.4,4.8,1,지인
U0131,웹개발,49000,290,64.6,3.9,0,검색
U0132,파이썬,79000,451,63.1,4.2,0,검색
U0133,데이터분석,49000,526,64.1,4.5,1,검색
U0134,AI머신러닝,79000,284,50.9,3.8,0,지인
U0135,파이썬,49000,441,68.0,4.6,0,추천
U0136,데이터분석,49000,669,57.3,3.7,1,지인
U0137,데이터분석,49000,536,58.9,3.5,1,광고
U0138,파이썬,79000,441,73.8,4.2,1,추천
U0139,웹개발,79000,649,73.0,4.4,0,추천
U0140,파이썬,79000,270,53.1,3.8,1,검색
U0141,웹개발,79000,572,74.0,4.4,1,검색
U0142,데이터분석,49000,372,64.8,3.6,1,지인
U0143,데이터분석,99000,364,53.7,4.4,0,광고
U0144,파이썬,129000,626,71.8,4.5,1,추천
U0145,웹개발,99000,409,67.0,3.9,1,광고
U0146,디자인,79000,558,56.6,4.6,1,추천
U0147,파이썬,79000,713,82.8,4.0,0,검색
U0148,AI머신러닝,79000,289,70.1,3.6,1,검색
U0149,파이썬,99000,345,80.2,3.7,1,검색
U0150,데이터분석,79000,270,60.6,4.1,1,검색
U0151,파이썬,49000,629,91.0,5.0,1,검색
U0152,AI머신러닝,49000,154,40.8,3.2,1,추천
U0153,파이썬,99000,647,80.8,4.2,0,광고
U0154,AI머신러닝,49000,157,36.2,4.2,0,추천
U0155,디자인,49000,332,48.5,3.9,0,추천
U0156,파이썬,99000,285,51.4,4.8,1,지인
U0157,파이썬,99000,495,78.2,4.2,1,검색
U0158,웹개발,79000,463,60.9,5.0,1,검색
U0159,파이썬,99000,954,95.9,3.8,0,추천
U0160,웹개발,129000,166,46.8,4.7,0,검색
U0161,디자인,79000,398,62.1,4.4,0,추천
U0162,파이썬,49000,602,66.5,4.8,0,검색
U0163,데이터분석,79000,120,67.8,3.4,1,검색
U0164,디자인,79000,319,51.9,3.7,0,광고
U0165,파이썬,129000,283,65.9,4.6,0,광고
U0166,웹개발,49000,488,77.8,3.3,0,지인
U0167,AI머신러닝,49000,230,69.9,3.7,0,검색
U0168,파이썬,129000,210,39.9,3.9,0,지인
U0169,파이썬,49000,392,84.5,3.8,1,지인
U0170,디자인,49000,125,27.6,3.6,0,지인
U0171,파이썬,99000,208,72.3,4.4,0,지인
U0172,데이터분석,99000,252,52.1,3.9,0,광고
U0173,파이썬,49000,391,55.0,4.2,0,지인
U0174,파이썬,49000,226,78.1,4.0,0,추천
U0175,파이썬,79000,636,78.8,4.6,1,검색
U0176,웹개발,49000,262,67.2,4.5,1,추천
U0177,파이썬,79000,306,69.7,4.9,1,추천
U0178,파이썬,99000,418,44.2,4.6,0,지인
U0179,AI머신러닝,129000,196,40.5,4.5,0,광고
U0180,파이썬,49000,308,77.0,3.5,1,검색
